table_year,scenario,throttle_scenario,recipient_sector,recipient_sector_name_ru,supplier_sector,supplier_sector_name_ru,direct_recipient_va_impulse_bn_rub,indirect_output_effect_bn_rub,indirect_va_effect_bn_rub,indirect_employment_effect_thousand
2019,Fast,SanctionRelief,B,Добыча полезных ископаемых,DE,Энергетика и ЖКХ,165.69035930842074,12.25243534528324,3.7242189835313972,1.4747291431024308
2019,Fast,SanctionRelief,B,Добыча полезных ископаемых,F,Строительство,165.69035930842074,5.038537225297993,2.143518932234678,1.1564615860313285
2019,Fast,SanctionRelief,B,Добыча полезных ископаемых,G,Оптовая и розничная торговля,165.69035930842074,7.207237847918863,4.105970625561991,2.105290311117358
2019,Fast,SanctionRelief,B,Добыча полезных ископаемых,H,Транспорт и логистика,165.69035930842074,24.345480408575195,10.790412979818905,4.706488078470381
2019,Fast,SanctionRelief,B,Добыча полезных ископаемых,J,ИТ и связь,165.69035930842074,1.894260817534764,0.9503745247026131,0.21178234429650983
2019,Fast,SanctionRelief,B,Добыча полезных ископаемых,K,Финансы и страхование,165.69035930842074,3.842017240135302,2.651017397633266,0.13280770873867334
2019,Fast,SanctionRelief,B,Добыча полезных ископаемых,M,Профессиональные и научные услуги,165.69035930842074,4.41772973737324,2.576436094029836,0.5565708440599039
2019,Fast,SanctionRelief,C,Обрабатывающая промышленность,B,Добыча полезных ископаемых,1078.819814102808,908.4166616729303,640.4039180331497,35.07670124018398
2019,Fast,SanctionRelief,C,Обрабатывающая промышленность,C,Обрабатывающая промышленность,1078.819814102808,1755.9467590687,485.81594002006096,132.59066709838186
2019,Fast,SanctionRelief,C,Обрабатывающая промышленность,C_mach,Машиностроение (ОКВЭД 26–30),1078.819814102808,229.36099690759042,63.627924782434356,14.820495841977515
2019,Fast,SanctionRelief,C,Обрабатывающая промышленность,DE,Энергетика и ЖКХ,1078.819814102808,455.1667559066317,138.35132569562583,54.78483754377101
2019,Fast,SanctionRelief,C,Обрабатывающая промышленность,F,Строительство,1078.819814102808,61.51865848110494,26.171565921521786,14.119964223023203
2019,Fast,SanctionRelief,C,Обрабатывающая промышленность,G,Оптовая и розничная торговля,1078.819814102808,409.15441084935657,233.09567794431595,119.51719023131906
2019,Fast,SanctionRelief,C,Обрабатывающая промышленность,H,Транспорт и логистика,1078.819814102808,572.1788652221659,253.60133176491468,110.61408371191133
2019,Fast,SanctionRelief,C,Обрабатывающая промышленность,J,ИТ и связь,1078.819814102808,73.21252713352358,36.73164752853401,8.185314548388426
2019,Fast,SanctionRelief,C,Обрабатывающая промышленность,K,Финансы и страхование,1078.819814102808,148.08964042498104,102.1828348594432,5.119041535608291
2019,Fast,SanctionRelief,C,Обрабатывающая промышленность,M,Профессиональные и научные услуги,1078.819814102808,151.27383563229168,88.22345262730238,19.05834249428428
2019,Fast,SanctionRelief,C_mach,Машиностроение (ОКВЭД 26–30),B,Добыча полезных ископаемых,402.1241335429167,117.17969727602944,82.60783890875635,4.524660770969395
2019,Fast,SanctionRelief,C_mach,Машиностроение (ОКВЭД 26–30),C,Обрабатывающая промышленность,402.1241335429167,662.0654275420278,183.172944381698,49.99223139722677
2019,Fast,SanctionRelief,C_mach,Машиностроение (ОКВЭД 26–30),C_mach,Машиностроение (ОКВЭД 26–30),402.1241335429167,728.4237030100985,202.07484798970637,47.06816157591336
2019,Fast,SanctionRelief,C_mach,Машиностроение (ОКВЭД 26–30),DE,Энергетика и ЖКХ,402.1241335429167,123.58841735657691,37.565619984369306,14.875364422617727
2019,Fast,SanctionRelief,C_mach,Машиностроение (ОКВЭД 26–30),F,Строительство,402.1241335429167,18.166913875458263,7.728656570562217,4.169729644592327
2019,Fast,SanctionRelief,C_mach,Машиностроение (ОКВЭД 26–30),G,Оптовая и розничная торговля,402.1241335429167,228.25670806772453,130.0380753611708,66.6755622726236
2019,Fast,SanctionRelief,C_mach,Машиностроение (ОКВЭД 26–30),H,Транспорт и логистика,402.1241335429167,171.57921772186268,76.04740538704011,33.16983395557817
2019,Fast,SanctionRelief,C_mach,Машиностроение (ОКВЭД 26–30),J,ИТ и связь,402.1241335429167,45.27087244112625,22.712967232833762,5.061378773809761
2019,Fast,SanctionRelief,C_mach,Машиностроение (ОКВЭД 26–30),K,Финансы и страхование,402.1241335429167,68.34938687499618,47.161530622595706,2.362645687722558
2019,Fast,SanctionRelief,C_mach,Машиностроение (ОКВЭД 26–30),M,Профессиональные и научные услуги,402.1241335429167,94.62164945244534,55.1836910401117,11.920976255419689
2019,Fast,SanctionRelief,DE,Энергетика и ЖКХ,B,Добыча полезных ископаемых,170.49622977934996,103.70762793968744,73.11047239071029,4.004463628913834
2019,Fast,SanctionRelief,DE,Энергетика и ЖКХ,C,Обрабатывающая промышленность,170.49622977934996,120.51701134123331,33.34331456849082,9.100179631250537
2019,Fast,SanctionRelief,DE,Энергетика и ЖКХ,C_mach,Машиностроение (ОКВЭД 26–30),170.49622977934996,28.69420724804629,7.960171454983116,1.8541181148591248
2019,Fast,SanctionRelief,DE,Энергетика и ЖКХ,DE,Энергетика и ЖКХ,170.49622977934996,320.27436856866325,97.34977983957471,38.548903283849015
2019,Fast,SanctionRelief,DE,Энергетика и ЖКХ,F,Строительство,170.49622977934996,16.82867772949599,7.159337661838415,3.86257329610421
2019,Fast,SanctionRelief,DE,Энергетика и ЖКХ,G,Оптовая и розничная торговля,170.49622977934996,87.61712127227011,49.915561804877136,25.593643555938527
2019,Fast,SanctionRelief,DE,Энергетика и ЖКХ,H,Транспорт и логистика,170.49622977934996,47.3855639833855,21.002247484188633,9.160615779052165
2019,Fast,SanctionRelief,DE,Энергетика и ЖКХ,J,ИТ и связь,170.49622977934996,13.030030681931905,6.537330604936211,1.4567848411003443
2019,Fast,SanctionRelief,DE,Энергетика и ЖКХ,K,Финансы и страхование,170.49622977934996,21.78885705630798,15.034455995513078,0.7531793848954281
2019,Fast,SanctionRelief,DE,Энергетика и ЖКХ,M,Профессиональные и научные услуги,170.49622977934996,21.434061160513146,12.500422637538874,2.7003855421068987
2019,Fast,SanctionRelief,F,Строительство,B,Добыча полезных ископаемых,95.1442328380599,21.018351846597422,14.817247900728784,0.8115818207544181
2019,Fast,SanctionRelief,F,Строительство,C,Обрабатывающая промышленность,95.1442328380599,103.51270329892627,28.6387505757047,7.816192781859016
2019,Fast,SanctionRelief,F,Строительство,C_mach,Машиностроение (ОКВЭД 26–30),95.1442328380599,19.945849668099587,5.533255608035701,1.2888302111360233
2019,Fast,SanctionRelief,F,Строительство,DE,Энергетика и ЖКХ,95.1442328380599,12.606743798401263,3.8319136768672615,1.5173744610931792
2019,Fast,SanctionRelief,F,Строительство,F,Строительство,95.1442328380599,8.531042812566943,3.6293175901583825,1.9580729208443706
2019,Fast,SanctionRelief,F,Строительство,G,Оптовая и розничная торговля,95.1442328380599,24.4091771231058,13.905932671634012,7.130110755878668
2019,Fast,SanctionRelief,F,Строительство,H,Транспорт и логистика,95.1442328380599,22.166133469041267,9.824482009913192,4.285174955146081
2019,Fast,SanctionRelief,F,Строительство,J,ИТ и связь,95.1442328380599,4.180620310292863,2.097469896213885,0.4674021453284778
2019,Fast,SanctionRelief,F,Строительство,K,Финансы и страхование,95.1442328380599,9.740163626525804,6.7207775540344254,0.3366900076515805
2019,Fast,SanctionRelief,F,Строительство,M,Профессиональные и научные услуги,95.1442328380599,13.900882445213227,8.107045337727778,1.7513126278997104
2019,Fast,SanctionRelief,G,Оптовая и розничная торговля,B,Добыча полезных ископаемых,995.4471872681896,57.56372837495331,40.58053836223972,2.2227087939590424
2019,Fast,SanctionRelief,G,Оптовая и розничная торговля,C,Обрабатывающая промышленность,995.4471872681896,164.0811136418255,45.396148859159794,12.389683345270422
2019,Fast,SanctionRelief,G,Оптовая и розничная торговля,C_mach,Машиностроение (ОКВЭД 26–30),995.4471872681896,73.48855751471862,20.386746103131248,4.748570488288496
2019,Fast,SanctionRelief,G,Оптовая и розничная торговля,DE,Энергетика и ЖКХ,995.4471872681896,61.89965386691897,18.814860842660757,7.4503738181846515
2019,Fast,SanctionRelief,G,Оптовая и розничная торговля,F,Строительство,995.4471872681896,14.60914956199662,6.215095228980005,3.353139912950884
2019,Fast,SanctionRelief,G,Оптовая и розничная торговля,G,Оптовая и розничная торговля,995.4471872681896,85.25971585787065,48.57254557753561,24.90502707303115
2019,Fast,SanctionRelief,G,Оптовая и розничная торговля,H,Транспорт и логистика,995.4471872681896,333.2812549857275,147.71704313797912,64.43020334959058
2019,Fast,SanctionRelief,G,Оптовая и розничная торговля,J,ИТ и связь,995.4471872681896,49.86504961851861,25.017923821148838,5.575017446866366
2019,Fast,SanctionRelief,G,Оптовая и розничная торговля,K,Финансы и страхование,995.4471872681896,66.38146043093064,45.80364831379675,2.294620016397516
2019,Fast,SanctionRelief,G,Оптовая и розничная торговля,M,Профессиональные и научные услуги,995.4471872681896,105.32179908007144,61.424057325743235,13.269042267569215
2019,Fast,SanctionRelief,H,Транспорт и логистика,B,Добыча полезных ископаемых,106.00292567331962,13.614672415138866,9.597897006133906,0.5257034761002014
2019,Fast,SanctionRelief,H,Транспорт и логистика,C,Обрабатывающая промышленность,106.00292567331962,58.77497953153815,16.26121167017508,4.438069494153431
