record_type,scenario,throttle_scenario,occupation_digit,occupation_name_isco08,quintile,ai_exposure_score,baseline_employment_thousand,employment_delta_2035_thousand,baseline_labour_income_bn_rub,labour_income_delta_2035_bn_rub,profit_gain_allocated_bn_rub,total_income_delta_bn_rub,gini_baseline_proxy,gini_post_proxy,gini_delta_proxy
occupation,Friction,SanctionBase,9.0,Elementary occupations,,0.3705807656935362,1996.1774895194403,-1.1637164533807156,994.3541501882039,-92.79150423916775,0.0,-92.79150423916775,,,
occupation,Friction,SanctionRelief,1.0,Managers,,0.8163266095070527,1519.594612075267,-30.06079177691629,3178.0043321481617,-303.51888952658794,0.0,-303.51888952658794,,,
occupation,Friction,SanctionRelief,2.0,Professionals,,0.8060153253325375,8696.048042062022,-277.75377335322986,18796.989848351026,-1475.1474423122427,0.0,-1475.1474423122427,,,
occupation,Friction,SanctionRelief,3.0,Technicians and associate professionals,,0.7419290879474001,3975.5671102297792,-69.78929670986444,5648.68995965144,-618.8768199053877,0.0,-618.8768199053877,,,
occupation,Friction,SanctionRelief,4.0,Clerical support workers,,0.7458447389249923,1341.067710344324,-23.66721456735908,1474.9121057441764,-178.5496037007388,0.0,-178.5496037007388,,,
occupation,Friction,SanctionRelief,5.0,Services and sales workers,,0.6243578381469675,799.7117565961831,-7.653864484687977,636.6534585903457,-72.24959292296344,0.0,-72.24959292296344,,,
occupation,Friction,SanctionRelief,6.0,Skilled agricultural workers,,0.5187886130307342,70.59692015010009,-0.3883031164909201,40.18139984251213,-4.259415823555732,0.0,-4.259415823555732,,,
occupation,Friction,SanctionRelief,7.0,Craft and related trades workers,,0.5598526735912037,7773.117146011304,-40.91532475380405,6061.847310147665,-527.7784412188344,0.0,-527.7784412188344,,,
occupation,Friction,SanctionRelief,8.0,"Plant and machine operators, assemblers",,0.49616419695167346,6701.619213011578,-19.00493313014018,5166.009013777703,-682.3106113901392,0.0,-682.3106113901392,,,
occupation,Friction,SanctionRelief,9.0,Elementary occupations,,0.3705807656935362,1996.1774895194403,-1.1971357463930643,994.3541501882039,-93.19543807290769,0.0,-93.19543807290769,,,
occupation,Friction,StressThrottle,1.0,Managers,,0.8163266095070527,1519.594612075267,-29.805729976133684,3178.0043321481617,-305.6177813616931,0.0,-305.6177813616931,,,
occupation,Friction,StressThrottle,2.0,Professionals,,0.8060153253325375,8696.048042062022,-272.57691946716585,18796.989848351026,-1487.4140307527023,0.0,-1487.4140307527023,,,
occupation,Friction,StressThrottle,3.0,Technicians and associate professionals,,0.7419290879474001,3975.5671102297792,-69.41185229980701,5648.68995965144,-623.3596371068716,0.0,-623.3596371068716,,,
